"Date","Start.Time","End.Time","Journey.Action","Charge","Credit","Balance","Note"
"15-Dec-2014","17:53","18:40","Canary Wharf [London Underground] to Richmond",0,NA,2,NA
"15-Dec-2014","07:17","08:03","Richmond to Canary Wharf [London Underground]",0,NA,2,NA
"15-Dec-2014","07:17","","Season ticket bought",0,NA,2,NA
"28-Dec-2014","13:26","14:12","Richmond to Kings Cross [London Underground / National Rail]",4.1,NA,10.8,""
"27-Dec-2014","16:33","16:59","Vauxhall [National Rail] to Richmond",2,NA,14.9,""
"27-Dec-2014","16:32","","Topped up,  ",NA,20,16.9,""
"27-Dec-2014","","16:31","[No touch-in] to Vauxhall [London Underground]",5.1,NA,-3.1,"We are not able to show where you touched in during this journey"
"22-Dec-2014","12:53","13:33","Richmond to Kings Cross [London Underground / National Rail]",0,NA,2,""
"03-Jan-2015","19:30","20:16","Euston [London Underground] to Richmond",4.2,NA,6.6,NA
"10-Jan-2015","23:53","00:24","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,6.6,NA
"10-Jan-2015","19:18","19:49","Richmond to Waterloo (platforms 12-19) [National Rail]",0,NA,6.6,NA
"09-Jan-2015","17:32","18:19","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
"09-Jan-2015","07:17","08:06","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"08-Jan-2015","21:06","21:47","Green Park to Richmond",0,NA,6.6,NA
"08-Jan-2015","17:35","17:56","Canary Wharf [London Underground] to Green Park",0,NA,6.6,NA
"08-Jan-2015","07:20","08:13","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"07-Jan-2015","17:27","18:07","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
"07-Jan-2015","07:22","08:06","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"06-Jan-2015","17:43","18:24","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
"06-Jan-2015","07:19","08:00","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"05-Jan-2015","17:27","18:07","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
"05-Jan-2015","07:20","08:06","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"05-Jan-2015","07:20","","Season ticket bought",0,NA,6.6,NA
"17-Jan-2015","16:50","17:29","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,6.6,NA
"17-Jan-2015","12:53","13:39","Richmond to Green Park",0,NA,6.6,NA
"16-Jan-2015","21:18","21:42","Earls Court to Richmond",0,NA,6.6,NA
"16-Jan-2015","19:03","19:35","Canary Wharf [London Underground] to High Street Kensington",0,NA,6.6,NA
"16-Jan-2015","07:20","08:11","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"15-Jan-2015","17:45","18:45","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
"15-Jan-2015","07:22","08:10","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"14-Jan-2015","17:37","18:23","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
"14-Jan-2015","07:17","08:11","Richmond to Canary Wharf [London Underground]",0,NA,6.6,NA
"13-Jan-2015","17:48","19:02","Canary Wharf [London Underground] to Richmond",0,NA,6.6,NA
