"station"	"long"	"lat"
"411"	"Tower Gateway"	-0.0746	51.5104
"412"	"Tower Hill"	-0.076	51.51
"413"	"Tulse Hill"	-0.1049	51.4399
"414"	"Turkey Street"	-0.0474	51.6725
"415"	"Turnham Green"	-0.255	51.49527
"416"	"Twickenham"	-0.3296	51.4504
"417"	"Upminster"	0.2509	51.5588
"418"	"Upper Holloway"	-0.1298	51.5638
"419"	"Upper Warlingham"	-0.078	51.3085
"420"	"Upton Park"	0.0344	51.535
"421"	"Uxbridge Road"	-0.2169	51.5054
"422"	"Uxbridge"	-0.4783	51.5459
"423"	"Vauxhall"	-0.1229	51.4854
"424"	"VauxhallLondon"	-0.1229	51.4859
"425"	"Verney Junction"	-0.93	51.9406
"426"	"VictoriaLondon"	-0.1448	51.4966
"427"	"Waddesdon Road"	-0.9468	51.8519
"428"	"Waddesdon"	-0.9021	51.8554
"429"	"Waddon"	-0.117	51.3674
"430"	"Wallington"	-0.1533	51.3592
"431"	"Waltham Cross"	-0.0266	51.6851
"432"	"Walthamstow Central"	-0.0192	51.5831
"433"	"Walthamstow Queen's Road"	-0.024	51.5817
"434"	"Wandsworth Common"	-0.1635	51.4464
"435"	"Wandsworth Road"	-0.139	51.4702
"436"	"Wandsworth Town"	-0.1879	51.461
"437"	"Wanstead Park"	0.0264	51.5518
"438"	"Wapping"	-0.0558	51.5044
"439"	"Warwick Avenue"	-0.183677	51.52327
"440"	"Waterloo EastLondon"	-0.1101	51.5041
"441"	"Waterloo"	-0.113	51.5025
"442"	"WaterlooLondon"	-0.1132	51.5031
"443"	"Watford Central"	-0.39789	51.656444
"444"	"Watford High Street"	-0.3918	51.6525
"445"	"Watford Junction"	-0.3958	51.6635
"446"	"Watford Vicarage Road"	-0.409284	51.646626
"447"	"Watford"	-0.4175	51.6575
"448"	"Welling"	0.1017	51.4647
"449"	"Wembley Central"	-0.29663	51.552633
"450"	"Wembley Park"	-0.2794	51.5636
"451"	"Wembley Stadium"	-0.2863	51.5543
"452"	"Wendover"	-0.747	51.762
"453"	"West Brompton"	-0.1957	51.4866
"454"	"West Croydon"	-0.102	51.3785
"455"	"West Drayton"	-0.4719	51.5101
"456"	"West Dulwich"	-0.0906	51.4409
"457"	"West Ealing"	-0.3203	51.5137
"458"	"West Ham"	0.0066	51.5284
"459"	"West Hampstead"	-0.1913	51.5473
"460"	"West Hampstead Thameslink"	-0.19183	51.54848
"461"	"West Harrow"	-0.3533	51.5797
"462"	"West Norwood"	-0.1035	51.4318
"463"	"West Ruislip"	-0.4376	51.5696
"464"	"West Sutton"	-0.2051	51.3662
"465"	"West Wickham"	-0.0145	51.3813
"466"	"Westbourne Park"	-0.2011	51.5211
"467"	"Westcombe Park"	0.0187	51.4842
"468"	"Westcott"	-0.9556	51.845
"469"	"Westminster"	-0.125	51.501
"470"	"White Hart Lane"	-0.0711	51.6049
"471"	"Whitechapel"	-0.061	51.519
"472"	"Whitton"	-0.3578	51.4495
"473"	"Whyteleafe"	-0.0811	51.3097
"474"	"Whyteleafe South"	-0.0768	51.3034
"475"	"Willesden Green"	-0.2217	51.5492
"476"	"Willesden Junction"	-0.2439	51.5324
"477"	"Wimbledon"	-0.2043	51.4232
"478"	"Wimbledon Chase"	-0.2142	51.4095
"479"	"Winchmore Hill"	-0.1013	51.6341
"480"	"Winslow Road"	-0.9104	51.9277
"481"	"Wood Lane"	-0.2250306	51.5089917
"482"	"Wood Siding"	-1.0244	51.833
"483"	"Wood Street"	-0.0021	51.5864
"484"	"Woodgrange Park"	0.0454	51.5487
"485"	"Woodmansterne"	-0.1539	51.3192
"486"	"Woolwich Arsenal"	0.0694	51.4898
"487"	"Woolwich Dockyard"	0.0536	51.4913
"488"	"Worcester Park"	-0.2412	51.3804
"489"	"Wotton"	-0.9926	51.8333
"490"	"Leicester Square"	-0.1281	51.5114
"491"	"Kennington"	-0.10555	51.48861
"492"	"Warren Street"	-0.13833	51.52472
"493"	"Covent Garden"	-0.1243	51.513
"494"	"Mornington Crescent"	-0.1386	51.5344
"495"	"Camden Town"	-0.1427	51.5394
"496"	"Pimlico"	-0.1333	51.4894
"497"	"Goodge Street"	-0.13444	51.52083
"498"	"Hyde Park Corner"	-0.1528	51.5028
"499"	"Earls Court"	-0.1947	51.4913
"500"	"Hounslow East"	-0.3563	51.473
"501"	"Angel"	-0.106	51.532
